row_id,Lat,Lon,Date,Kommun,Lan,Quantity,Pressence
4480,58.7823282222141,15.216264155392931,2024-11-20 00:00:00,Motala,Östergötland,1,0
4481,60.90531176703989,16.72623925984246,2024-06-25 00:00:00,Ockelbo,Gävleborg,1,0
4482,64.34458305168422,18.858793628014908,2024-08-12 00:00:00,Lycksele,Västerbotten,1,0
4483,64.3464865501154,18.873399287009196,2024-08-12 00:00:00,Lycksele,Västerbotten,1,0
4484,59.94003375000211,14.407977171307643,2024-11-20 00:00:00,Hällefors,Örebro,1,0
4485,59.93914831174021,14.409982446079797,2024-11-20 00:00:00,Hällefors,Örebro,1,0
4486,59.9375181662198,14.411178048190362,2024-11-20 00:00:00,Hällefors,Örebro,1,0
4487,58.1995327028948,14.686322090227042,2024-11-19 00:00:00,Ödeshög,Östergötland,1,0
4488,60.54662213319656,15.343570910647962,2024-09-19 00:00:00,Borlänge,Dalarna,1,0
4489,60.51518961717736,15.361496133291746,2024-09-23 00:00:00,Borlänge,Dalarna,1,0
4490,60.61424536801249,15.347843893193922,2024-09-16 00:00:00,Borlänge,Dalarna,1,0
4491,60.614128887268826,15.347900328072699,2024-09-16 00:00:00,Borlänge,Dalarna,1,0
4492,60.613671957126634,15.35340324330649,2024-09-16 00:00:00,Borlänge,Dalarna,1,0
4493,60.608805430473346,15.332073238991867,2024-09-16 00:00:00,Borlänge,Dalarna,1,0
4494,60.608841069505836,15.331999684650633,2024-09-16 00:00:00,Borlänge,Dalarna,1,0
4495,60.55597565737582,15.313871373458078,2024-09-19 00:00:00,Borlänge,Dalarna,1,0
4496,60.58699245251339,15.404918842532703,2024-09-18 00:00:00,Falun,Dalarna,1,0
4497,60.58902428086233,15.400131271600731,2024-09-17 00:00:00,Borlänge,Dalarna,1,0
4498,60.59079285177764,15.403265900846902,2024-09-17 00:00:00,Borlänge,Dalarna,1,0
4499,60.57933924829446,15.399778552933423,2024-09-17 00:00:00,Falun,Dalarna,1,0
4500,60.5943262838836,15.405357075023467,2024-09-18 00:00:00,Falun,Dalarna,1,0
4501,60.59419718793409,15.404208955760495,2024-09-18 00:00:00,Falun,Dalarna,1,0
4502,60.62934704410716,15.390873259237022,2024-09-19 00:00:00,Falun,Dalarna,1,0
4503,60.6292306020643,15.39094783422446,2024-09-19 00:00:00,Falun,Dalarna,1,0
4504,60.62920350838501,15.39089337471567,2024-09-19 00:00:00,Falun,Dalarna,1,0
4505,60.625440540214456,15.39298768954585,2024-09-19 00:00:00,Falun,Dalarna,1,0
4506,60.63041869347448,15.392047024716948,2024-09-19 00:00:00,Falun,Dalarna,1,0
4507,60.629391009120575,15.390580383104446,2024-09-19 00:00:00,Falun,Dalarna,1,0
4508,60.62921338984622,15.391185556658836,2024-09-19 00:00:00,Falun,Dalarna,1,0
4509,60.64574066099204,15.462442452699504,2024-09-17 00:00:00,Falun,Dalarna,1,0
4510,60.65051102105941,15.467821166960945,2024-09-17 00:00:00,Falun,Dalarna,1,0
4511,60.65072696528092,15.468038278881185,2024-09-17 00:00:00,Falun,Dalarna,1,0
4512,60.64293750222782,15.454375598389685,2024-09-17 00:00:00,Falun,Dalarna,1,0
4513,60.642839454275865,15.454632544685225,2024-09-17 00:00:00,Falun,Dalarna,1,0
4514,60.642866570018214,15.454705357169752,2024-09-17 00:00:00,Falun,Dalarna,1,0
4515,60.64412512009237,15.455495866787341,2024-09-17 00:00:00,Falun,Dalarna,1,0
4516,60.61694321329034,15.349412712474027,2024-09-16 00:00:00,Falun,Dalarna,1,0
4517,60.66986157187054,15.475355686576052,2024-09-17 00:00:00,Falun,Dalarna,1,0
4518,60.67030438471096,15.483966907947101,2024-09-17 00:00:00,Falun,Dalarna,1,0
4519,60.66986432392161,15.476471485648917,2024-09-17 00:00:00,Falun,Dalarna,1,0
4520,60.52126932352263,15.326252065501627,2024-09-23 00:00:00,Borlänge,Dalarna,1,0
4521,60.52102097797975,15.327075119902455,2024-09-23 00:00:00,Borlänge,Dalarna,1,0
4522,60.520994315558376,15.327148347433427,2024-09-23 00:00:00,Borlänge,Dalarna,1,0
4523,60.51673477497869,15.32815796344436,2024-09-23 00:00:00,Borlänge,Dalarna,1,0
4524,60.525943492897014,15.328240753100628,2024-09-20 00:00:00,Borlänge,Dalarna,1,0
4525,60.5978534545093,15.323838075178191,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4526,60.598354643893906,15.318501023088285,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4527,60.596525096153215,15.321339262476306,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4528,60.596435748312786,15.32145010755815,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4529,60.59644531815053,15.3216142221093,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4530,60.596112008797014,15.323754549213406,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4531,60.60283970776149,15.322777931264689,2024-09-18 00:00:00,Borlänge,Dalarna,1,0
4532,60.65546078239683,15.44553577168214,2024-09-17 00:00:00,Falun,Dalarna,1,0
